New Summary ID,Narrative Element,Page,Section / Component,Name,Combined Name,Length,Purpose,Example,# DataPoints
42,Character,Character Detail Page - Backstory Subpage - Backstory,,Key Life Accomplishments,Character Detail Page - Backstory Subpage - Backstory- - Key Life Accomplishments,1 sentence,Highlight noteworthy achievements that set the stage for the character's journey.,Her groundbreaking doctoral thesis on gene therapies landed her a cover story in a major science magazine.,2
43,Character,Character Detail Page - Details Subpage,,Character Goal Item,Character Detail Page - Details Subpage- - Character Goal Item,1 sentence,Clearly state the character's primary objective or desire that drives their actions.,"Driven by a thirst for justice, the detective seeks to uncover the truth behind her partner's murder.",2
44,Character,Character Detail Page - Details Subpage,,Introduction to the Audience,Character Detail Page - Details Subpage- - Introduction to the Audience,1-2 sentences,Describe the character's initial impression on the audience and their role in the story.,"A seasoned warrior with a gruff exterior, the mentor character is introduced as a reluctant guide for the young protagonist.",2
45,Character,Character Detail Page - Details Subpage,,Personality Positive Item,Character Detail Page - Details Subpage- - Personality Positive Item,1 sentence,Highlight an admirable or likable trait that endears the character to the audience.,The character's unwavering loyalty and self-sacrifice make her a relatable and sympathetic figure.,2
46,Character,Character Detail Page - Details Subpage,,Personality Negative Item,Character Detail Page - Details Subpage- - Personality Negative Item,1 sentence,Identify a flaw or weakness that humanizes the character and creates potential for growth.,The character's stubbornness and pride often lead to conflicts and poor decisions.,2
47,Character,Character Detail Page - Details Subpage,,Character Core Motivations,Character Detail Page - Details Subpage- - Character Core Motivations,1 sentence,"Explain the deep-seated needs, fears, or beliefs that shape the character's actions.","Haunted by a tragic loss, the character is motivated by a need for redemption and closure.",2
48,Character,Character Detail Page - Details Subpage,,Character Decision Making Item,Character Detail Page - Details Subpage- - Character Decision Making Item,1 sentence,Illustrate how the character approaches choices and problem-solving.,"Impulsive and risk-prone, the character often relies on gut instinct when making decisions under pressure.",3
49,Character,Character Detail Page - Details Subpage,,Character Growth Potential Item,Character Detail Page - Details Subpage- - Character Growth Potential Item,1 sentence,Suggest how the character might evolve or change over the course of the story.,The idealistic rookie must learn to temper her optimism with the harsh realities of the job.,2
50,Character,Character Detail Page - Details Subpage,,Character Emotional Landscape Item,Character Detail Page - Details Subpage- - Character Emotional Landscape Item,1 sentence,"Capture the character's prevailing mood, emotional range, and internal conflicts.","Outwardly confident but inwardly insecure, the character struggles with imposter syndrome and self-doubt.",2
51,Character,Character Detail Page - References Subpage,,Archetypes Item,Character Detail Page - References Subpage- - Archetypes Item,1 sentence,"Situate the character within recognizable archetypes, to quickly convey their role and traits.","Embodies the Brilliant but Troubled Scientist archetype, consumed by her work at the cost of human connection.",2
52,Character,Character Detail Page - References Subpage,,Historical Figures Item,Character Detail Page - References Subpage- - Historical Figures Item,1 sentence,Identify real-world individuals who inspired aspects of the character.,Inspired by the groundbreaking achievements and complex personal life of Marie Curie.,2
53,Character,Character Detail Page - References Subpage,,Fictional References Item,Character Detail Page - References Subpage- - Fictional References Item,1 sentence,Draw connections to familiar fictional characters with similar traits or arcs.,"Echoes the brilliance, ambition, and hubris of Victor Frankenstein, with shades of the redemptive journey of Ebenezer Scrooge.",2
54,Character,Character Detail Page - Relational Subpage,,Relationship in Episode Item,Character Detail Page - Relational Subpage- - Relationship in Episode Item,1 sentence,"Outline how a relationship shapes their episode journey, growth, or goal.",The character's budding friendship with a charismatic newcomer challenges her to face her past mistakes.,3
55,Character,Character Detail Page - Relational Subpage - Social Impact,,Perceived by Others Item,Character Detail Page - Relational Subpage - Social Impact- - Perceived by Others Item,1 sentence,"Explain how others view the character, emphasizing key traits and biases.","Many colleagues see her as a determined perfectionist, admiring her drive but finding her closed off.",2
56,Character,Character Detail Page - Relational Subpage - Social Impact,,Appeals to Others Item,Character Detail Page - Relational Subpage - Social Impact- - Appeals to Others Item,1 sentence,"Highlight character strengths that earn others' respect, loyalty, or affection.",Her unwavering honesty and keen problem-solving draw others to trust and rely on her.,2
57,Character,Character Detail Page - Relational Subpage - Social Impact,,Repels Characters Item,Character Detail Page - Relational Subpage - Social Impact- - Repels Characters Item,1 sentence,Identify character flaws that create distance or conflict with others.,Her blunt criticism and resistance to compromise frequently alienate potential allies.,2
58,Character,Character Detail Page - Relational Subpage - Social Impact,,Relationships Item,Character Detail Page - Relational Subpage - Social Impact- - Relationships Item,1 sentence,Summarize the general state of the character's interpersonal bonds and social circles.,"With a few loyal friends, a strained family dynamic, and a reputation for aloofness, her relationships typically remain surface-level.",2
59,Character,Character Detail Page - Relational Subpage - Social Impact - Helping Others,,In Friendship,Character Detail Page - Relational Subpage - Social Impact - Helping Others- - In Friendship,1 sentence,Convey how the character supports close friends or colleagues.,Acts as a fierce advocate for her friends' projects and consistently offers incisive feedback.,2
60,Character,Character Detail Page - Relational Subpage - Social Impact - Helping Others,,Community,Character Detail Page - Relational Subpage - Social Impact - Helping Others- - Community,1 sentence,Show how the character contributes to their immediate community.,Organizes fundraisers and awareness campaigns for causes tied to her scientific research.,2
61,Character,Character Detail Page - Relational Subpage - Social Impact - Helping Others,,Outside,Character Detail Page - Relational Subpage - Social Impact - Helping Others- - Outside,1 sentence,Demonstrate how the character's actions ripple outward to broader society.,Her groundbreaking discoveries inspire young girls worldwide to pursue STEM careers.,2
62,Character,Character Detail Page - Speech Subpage,,Speech Patterns Item,Character Detail Page - Speech Subpage- - Speech Patterns Item,1 sentence,"Capture the character's communication style, accent, or verbal tics.","Speaks in clipped, precise sentences, often laced with scientific jargon, with a tendency to interrupt others.",2
63,Clarify,-,Clarify Card,Title,-- Clarify Card- Title,"1 brief, descriptive title","Highlight key subject and details for clarification, to ensure accuracy and consistency.",,0
64,Clarify,-,Clarify Card,Discrepancy,-- Clarify Card- Discrepancy,1 brief sentence,"Describe what needs to be resolved and why, to maintain story integrity.","We’re uncertain about how you want to handle the climax, is it in the future or in 1880’s Paris?",0
65,Market Comp,Market Comp Detail Page,-,Favorite Aspect Title,Market Comp Detail Page- -- Favorite Aspect Title,1 brief title,Identify a standout element that makes the comp engaging or effective.,Subversive Take on Chosen One Trope,1
66,Market Comp,Market Comp Detail Page,-,Favorite Aspect Description,Market Comp Detail Page- -- Favorite Aspect Description,1 sentence,Explain how this aspect contributes to the comp's appeal or impact.,"By making the chosen one a reluctant antihero, the story upends expectations and explores the dark side of destiny.",1
67,Market Comp,Market Comp Detail Page,-,Top Similarity Item,Market Comp Detail Page- -- Top Similarity Item,1 sentence,Highlight a key parallel between the comp and the current story.,Both feature a magic school setting and a misfit protagonist grappling with newfound powers.,2
68,Market Comp,Market Comp Detail Page,-,Top Difference Item,Market Comp Detail Page- -- Top Difference Item,1 sentence,Identify a major distinction that sets the current story apart from the comp.,"While the comp focuses on a wizard vs. wizard conflict, this story explores tensions between magic and non-magic societies.",1
69,Market Comp,Market Comp Detail Page,-,Key Moment Title,Market Comp Detail Page- -- Key Moment Title,1 brief title,Identify a pivotal scene or turning point in the comp's narrative.,The Betrayal at the Tournament,3
70,Market Comp,Market Comp Detail Page,-,Key Moment Description,Market Comp Detail Page- -- Key Moment Description,1 sentence,Summarize the key moment and its impact on the comp's plot or characters.,"When the protagonist's mentor is revealed as the villain, it shatters her trust and forces her to forge her own path.",3
71,Market Comp,Market Comp Detail Page,Comparison,General Description,Market Comp Detail Page- Comparison- General Description,1 brief paragraph,"Provide an overview of the comp's premise, genre, and defining elements.","A gritty cyberpunk thriller that follows a jaded mercenary and a naive hacker as they uncover a corporate conspiracy threatening to rewrite reality itself, blurring the lines between the virtual and the real.",4
72,Market Comp,Market Comp Detail Page,Comparison,Plot Arc,Market Comp Detail Page- Comparison- Plot Arc,1 brief paragraph,"Trace the broad strokes of the comp's plot, highlighting key beats and turns.","From the inciting incident of a seemingly routine data heist gone wrong to the mind-bending climax inside the company's mainframe, the unlikely duo must navigate layers of deception while confronting their own shifting identities and allegiances.",2
73,Market Comp,Market Comp Detail Page,Comparison,Plot Compared,Market Comp Detail Page- Comparison- Plot Compared,1 sentence,Identify similar plots or structural elements shared with the current story.,"Both narratives feature an unlikely partnership, nested realities, and a race against time to stop a world-altering event.",1
74,Market Comp,Market Comp Detail Page,Comparison - Plot Compared,Similarities,Market Comp Detail Page- Comparison - Plot Compared- Similarities,1 sentence,Highlight a key plot parallel or structural echo between the stories.,"In each, the protagonist must navigate a web of corporate espionage and shifting allegiances to uncover the truth.",2
75,Market Comp,Market Comp Detail Page,Comparison - Plot Compared,Differences,Market Comp Detail Page- Comparison - Plot Compared- Differences,1 sentence,Identify a major plot distinction that sets the current story apart.,"While the comp builds to a single reality-redefining twist, this story features multiple nested revelations that keep reframing the characters' mission.",2
76,Market Comp,Market Comp Detail Page,Comparison - Characters,Key Character Item,Market Comp Detail Page- Comparison - Characters- Key Character Item,1 sentence,Identify a major player in the comp who drives the narrative.,"The jaded mercenary, haunted by a dark past, reluctantly teams up with the naive hacker to unravel the conspiracy.",2
77,Market Comp,Market Comp Detail Page,Comparison - Characters,Character Arcs,Market Comp Detail Page- Comparison - Characters- Character Arcs,1 sentence,Summarize a key character arc and its impact on the comp's story.,The mercenary's journey from cynical loner to self-sacrificing hero forms the emotional spine of the narrative.,2
78,Market Comp,Market Comp Detail Page,Comparison - Characters,Characters Compared,Market Comp Detail Page- Comparison - Characters- Characters Compared,1 sentence,Identify similar character archetypes or roles shared with the current story.,Both stories feature an odd couple pairing of a grizzled veteran and an idealistic rookie who challenge each other's worldviews.,1
79,Market Comp,Market Comp Detail Page,Comparison - Characters - Characters Compared,Similarities,Market Comp Detail Page- Comparison - Characters - Characters Compared- Similarities,1 sentence,Highlight a key character parallel between the stories.,"In each, a jaded warrior figure must confront their past and learn to trust again through an unlikely partnership.",2
80,Market Comp,Market Comp Detail Page,Comparison - Characters - Characters Compared,Differences,Market Comp Detail Page- Comparison - Characters - Characters Compared- Differences,1 sentence,Identify a major character distinction that sets the current story apart.,"While the comp's hacker is a wide-eyed ingenue, the current story's rookie is a traumatized survivor seeking justice.",2
81,Market Comp,Market Comp Detail Page,Comparison - Themes,Central Themes,Market Comp Detail Page- Comparison - Themes- Central Themes,1 sentence,Identify the comp's core thematic questions and concerns.,"The story explores the nature of reality, identity, and free will in a world where the virtual and the real are increasingly blurred.",1
82,Market Comp,Market Comp Detail Page,Comparison - Themes,Symbols & Motifs Item,Market Comp Detail Page- Comparison - Themes- Symbols & Motifs Item,1 sentence,Highlight a recurring symbol or motif that encapsulates the comp's themes.,"The ever-present neon glow that suffuses the city, both mesmerizing and obscuring, mirrors the allure and peril of living in virtual realities.",2
83,Market Comp,Market Comp Detail Page,Comparison - Themes,Themes Compared,Market Comp Detail Page- Comparison - Themes- Themes Compared,1 sentence,Identify similar thematic territory shared with the current story.,"Both narratives grapple with questions of authenticity, liberation, and sacrifice in a world mediated by technology.",2
84,Market Comp,Market Comp Detail Page,Comparison - Themes - Themes Compared,Similarities,Market Comp Detail Page- Comparison - Themes - Themes Compared- Similarities,1 sentence,Highlight a key thematic parallel between the stories.,"Each story uses virtual worlds as a metaphor for escapism and self-delusion, asking what it means to live an authentic life.",2
85,Market Comp,Market Comp Detail Page,Comparison - Themes - Themes Compared,Differences,Market Comp Detail Page- Comparison - Themes - Themes Compared- Differences,1 sentence,Identify a major thematic distinction that sets the current story apart.,"While the comp ultimately valorizes the 'real' over the virtual, this story sees both as equally constructed and ripe for subversion.",2
86,Market Comp,Market Comp Detail Page,Comparison - World,World Details,Market Comp Detail Page- Comparison - World- World Details,1 brief paragraph,"Describe the defining elements of the comp's setting, atmosphere, and genre.","Set in a sprawling, neon-soaked megalopolis where the line between the physical and digital is increasingly blurred, the story creates a vivid and immersive cyberpunk world that feels both alien and unnervingly familiar.",2
87,Market Comp,Market Comp Detail Page,Comparison - World,Tone and Style,Market Comp Detail Page- Comparison - World- Tone and Style,1 sentence,Characterize the comp's narrative voice and stylistic flourishes.,"Staccato prose, dense with tech jargon and noirish metaphors, captures the gritty, hyper-adrenalized feel of the setting.",1
88,Market Comp,Market Comp Detail Page,Comparison - World,World Compared,Market Comp Detail Page- Comparison - World- World Compared,1 sentence,Identify similar world-building elements or genre markers shared with the current story.,Both stories unfold against a richly textured dystopian cityscape where advanced tech coexists with crumbling infrastructure and neon-tinged decay.,1
89,Market Comp,Market Comp Detail Page,Comparison - World - World Compared,Similarities,Market Comp Detail Page- Comparison - World - World Compared- Similarities,1 sentence,Highlight a key setting or atmospheric parallel between the stories.,Each world is a study in contrasts - glittering skyscrapers and VR pleasure palaces built on a foundation of poverty and analog squalor.,2
90,Market Comp,Market Comp Detail Page,Comparison - World - World Compared,Differences,Market Comp Detail Page- Comparison - World - World Compared- Differences,1 sentence,Identify a major world-building distinction that sets the current story apart.,"Where the comp's world maintains a clear divide between digital and physical spaces, this story's setting features a more seamless and insidious merging of the two.",2
91,Plot,-,Plot Card,Plot Card Title,-- Plot Card- Plot Card Title,1 brief title,"Name the main event or turning point of the plot point, to orient the writer.",,5
92,Plot,-,Plot Card,Plot Card Summary,-- Plot Card- Plot Card Summary,1 brief sentence,"Summarize the key event and its impact on the story, to trace the narrative arc.",,12
93,Plot,Plot Detail Page - Arc Subpage,,Setup,Plot Detail Page - Arc Subpage- - Setup,1 brief paragraph,Establish the plot's status quo and the protagonist's unfulfilled desires before the inciting incident.,"In a world where emotions are outlawed, the protagonist secretly yearns to feel, setting the stage for their dangerous journey of self-discovery.",3
94,Plot,Plot Detail Page - Arc Subpage,,Inciting Incident,Plot Detail Page - Arc Subpage- - Inciting Incident,1 brief paragraph,Describe the event that disrupts the status quo and drives the main conflict.,The protagonist's chance encounter with a rebel who encourages them to embrace their feelings ignites their quest to overthrow the emotionless regime.,1
95,Plot,Plot Detail Page - Arc Subpage,,Trials and Complications,Plot Detail Page - Arc Subpage- - Trials and Complications,1 brief paragraph,Summarize the escalating obstacles and revelations the plot's protagonist faces on their journey.,"As the protagonist grapples with unfamiliar emotions and the risks of rebellion, they must navigate a budding romance, a betrayal by a trusted friend, and increasingly perilous attempts to subvert the authorities.",4
96,Plot,Plot Detail Page - Arc Subpage,,The Midpoint Twist,Plot Detail Page - Arc Subpage- - The Midpoint Twist,1 brief paragraph,"Reveal the plot's major turning point, which raises the stakes and shifts the protagonist's trajectory.",The protagonist's capture and interrogation by the regime's ruthless enforcer forces them to confront the true depths of their emotional awakening and the personal cost of the rebellion.,2
97,Plot,Plot Detail Page - Arc Subpage,,The Crisis Point,Plot Detail Page - Arc Subpage- - The Crisis Point,1 brief paragraph,"Outline the protagonist's bleakest moment, where all seems lost and they face their greatest fear or failure.","Betrayed by their lover and with the rebellion on the brink of collapse, the protagonist must choose between surrendering their newfound emotions or risking everything for the chance to feel.",4
98,Plot,Plot Detail Page - Arc Subpage,,The Climax,Plot Detail Page - Arc Subpage- - The Climax,1 brief paragraph,Describe the final confrontation that determines the plot's outcome and the protagonist's fate.,"In a daring raid on the regime's headquarters, the protagonist confronts the enforcer in an emotional showdown, using their passion and empathy to expose the bankruptcy of a world without feelings.",5
99,Plot,Plot Detail Page - Arc Subpage,,The Resolution,Plot Detail Page - Arc Subpage- - The Resolution,1 brief paragraph,Show the new status quo and the protagonist's growth or changed circumstances after the climax.,"With the regime toppled and emotions decriminalized, the protagonist helps build a new society that embraces the full spectrum of human experience, forever changed by their journey.",3
100,Plot,Plot Detail Page - Overview Subpage,-,Plot Main Protagonist Purpose,Plot Detail Page - Overview Subpage- -- Plot Main Protagonist Purpose,1 sentence,Articulate the central role or narrative function of the story's main character.,"As a disillusioned knight seeking redemption, the protagonist must confront the dark legacy of his deeds and restore honor to his tarnished name.",1
101,Plot,Plot Detail Page - Overview Subpage,-,Plot Main Protagonist Goal,Plot Detail Page - Overview Subpage- -- Plot Main Protagonist Goal,1 sentence,Identify the primary objective or desire that drives the protagonist's actions.,The protagonist seeks to atone for his past misdeeds by embarking on a perilous quest to recover a sacred relic and return it to its rightful place.,2
102,Plot,Plot Detail Page - Overview Subpage,-,Plot Exploration,Plot Detail Page - Overview Subpage- -- Plot Exploration,1 brief paragraph,"Provide a concise summary of the plot's central conflict, stakes, and arc.","When a disgraced knight is offered a chance at redemption through a dangerous quest, he must navigate treacherous political machinations, confront the ghosts of his past, and decide what price he's willing to pay for honor. As he closes in on the sacred relic, he discovers a web of corruption.",4
103,Progress,Progress Report Detail Page,Report Section,Story Goal Effectiveness,Progress Report Detail Page- Report Section- Story Goal Effectiveness,1 Paragraph,"Assess how well current development is achieving the story's goals so far, to determine next steps.",,15
104,Progress,Progress Report Detail Page,Report Section,Target Audience Effectiveness,Progress Report Detail Page- Report Section- Target Audience Effectiveness,1 Paragraph,"Evaluate how well the story is resonating with the intended audience, to make needed adjustments.",,4
